127.0.0.1 - - [22/Nov/2017:13:29:14 -0800] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:39:45 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:40:03 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:40:38 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:40:58 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:41:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:41:59 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:43:53 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:45:09 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:45:39 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:46:14 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:47:32 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:49:00 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:54:18 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:56:39 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:58:43 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:04:45 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:08:00 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:10:09 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30860
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:10:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.30607608777564&lon=-117.71877087402345 HTTP/1.1" 200 14660
