127.0.0.1 - - [21/Nov/2017:11:52:09 -0800] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:21:37 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:24:04 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:25:42 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:26:38 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:27:39 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:33:36 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:34:21 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:36:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:37:02 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:41:30 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:41:44 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:49:30 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:50:51 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:52:17 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:52:50 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:54:09 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:13:55:07 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30895
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:20:49 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:21:10 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:21:14 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:21:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:21:48 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:22:58 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:23:50 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:26:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:27:00 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:27:55 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:27:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:27:58 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:28:33 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:29:48 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:30:12 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:30:25 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:30:48 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:31:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:32:10 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:32:36 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
